date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:18	114352/114352	---M--	200	added ('OK')	image/jpeg	etag:%22fc9f7218650adb5c743b6497bb4d7cad4273ddd1%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i15f3d10559aa24a9/version/1487142996/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i15f3d10559aa24a9/version/1487142996/image.jpg	(from https://www.minamer.com.mx/)
14:47:19	62178/62178	---M--	200	added ('OK')	image/jpeg	etag:%224f7665cae18e6cbad41dac64bd6d52af02df88ae%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i68da0cea071fd875/version/1487142996/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i68da0cea071fd875/version/1487142996/image.jpg	(from https://www.minamer.com.mx/)
14:47:19	53869/53869	---M--	200	added ('OK')	image/jpeg	etag:%2200b07cc70703f96884f942da7df7e6da4a00ab19%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i17ab4cb02ca6fe72/version/1487142997/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i17ab4cb02ca6fe72/version/1487142997/image.jpg	(from https://www.minamer.com.mx/)
14:47:20	138806/138806	---M--	200	added ('OK')	image/jpeg	etag:%22e970e693054bbe0c96ec8314c1328f44b94f7525%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/id169da413c18f674/version/1487142997/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/id169da413c18f674/version/1487142997/image.jpg	(from https://www.minamer.com.mx/)
14:47:21	160344/160344	---M--	200	added ('OK')	image/jpeg	etag:%223dcaad73af346b7274d1c7160bb4d38f16e56c54%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/ia935103ab447a1d2/version/1487142997/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/ia935103ab447a1d2/version/1487142997/image.jpg	(from https://www.minamer.com.mx/)
14:47:21	81660/81660	---M--	200	added ('OK')	image/jpeg	etag:%2213e13ad895ba6bf94aeb07c034cfbc9062298b2c%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/icf1641325005ee30/version/1493924585/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/icf1641325005ee30/version/1493924585/image.jpg	(from https://www.minamer.com.mx/)
14:47:22	126924/126924	---M--	200	added ('OK')	image/jpeg	etag:%22f755a1d23f6a3fbaf3648a78eb93f22546cc61c0%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/if27dd3e8a7f4fdf4/version/1493924585/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/if27dd3e8a7f4fdf4/version/1493924585/image.jpg	(from https://www.minamer.com.mx/)
14:47:22	123969/123969	---M--	200	added ('OK')	image/jpeg	etag:%22ec686229ec19de4b01bbf182b373e5fbed948ce8%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i6f70797f68bd0904/version/1493924585/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i6f70797f68bd0904/version/1493924585/image.jpg	(from https://www.minamer.com.mx/)
14:47:22	62244/62244	---M--	200	added ('OK')	image/jpeg	etag:%22faef0f60bec7641286c21134700b1347a1957275%22	https://image.jimcdn.com/app/cms/image/transf/dimension=682x2048:format=jpg/path/sc8497b8285030272/image/i36b720f8346255e6/version/1493924585/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/dimension=682x2048_format=jpg/path/sc8497b8285030272/image/i36b720f8346255e6/version/1493924585/image.jpg	(from https://www.minamer.com.mx/)
14:47:23	70280/70280	---M--	200	added ('OK')	image/jpeg	etag:%2230340d5d2819e512d8d427c350806f90%22	https://image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/iac0150b3c95968b5/version/1493926208/image.jpg	C:/Users/OSCAR%20LEAL/Desktop/minamer/image.jimcdn.com/app/cms/image/transf/none/path/sc8497b8285030272/image/iac0150b3c95968b5/version/1493926208/image.jpg	(from https://www.minamer.com.mx/)
